unique_product	commodity
female fowl, hen (1yr to 3yrs ) - piece (s)	1
empty gallon 25L - piece (s)	2
soap - box	3
yam (cocoyam,water yam) - sack	4
yam (cocoyam,water yam) - small sack	5
yam (cocoyam,water yam) - half sack	6
rice - bag 5kg	7
tomato paste - box	8
cooking (vegetable) oil - bottle (5L)	9
male fowl, cock (1yr to 3yrs) - piece (s)	10
firewood - pan	11
guinea fowl (1yr to 3yrs male) - piece (s)	12
lipton (teabag) - box	13
milk - box	14
yam (cocoyam,water yam) - pan	15
okro - pan	16
yam (cocoyam,water yam) - tuber	17
firewood - bundle	18
female fowl, hen (below 1yr) - piece (s)	19
goat (below 1yr male) - piece (s)	20
motor tyre - piece (s)	21
charcoal - sack	22
meat - small sack	23
cassava - tuber	24
fresh pepper - fertilizer bag	25
cassava - small sack	26
fresh pepper - basket	27
okro - small sack	28
dried okro (dry okro) - small sack	29
dried (dry) pepper - fertilizer bag	30
dried (dry) pepper - small sack	31
fresh tomatoes - rubber bag	32
dried (dry) pepper - polythene bag	33
second hand clothes - sack	34
bags - piece (s)	35
rice - bag 50kg	36
powdered pepper - polythene bag	37
maize (corn) flour - small sack	38
local broom - piece (s)	39
cooking pot (medium) - piece (s)	40
cement - bag 50kg	41
cooking (vegetable) oil - bottle (1.5L)	42
maize (corn) flour - half sack	43
soft drink (350ml) - pack (20)	44
power bank - piece (s)	45
pick axe - piece (s)	46
pick axe handle - piece (s)	47
mobile phone charger - piece (s)	48
sandals - sack	49
maize (corn) - small sack	50
okro - half sack	51
rice - bag 22.5kg	52
soft drink (350ml) - pack (12)	53
energy drink (350ml) - pack (12)	54
petrol - gallon (25L)	55
plantain - bunch	56
bread - tray	57
dried okro (dry okro) - polythene bag	58
cassava - pan	59
car tyres - piece (s)	60
onion - polythene bag	61
kokonte (cassava chips) - pan	62
okro - polythene bag	63
rice - rubber bag	64
okro - basket	65
petrol - gallon (5L)	66
beans - rubber bag	67
edible leaves (baobab leaves, kuuka, kipok, moringa leaves, waakye leaves, ademe, hibiscus leaves, sobolo leaves, bito) - rubber bag	68
maize (corn) - pan	69
maize (corn) - half sack	70
fresh pepper - small sack	71
charcoal - half sack	72
dog (1yr to 3yrs male) - piece (s)	73
dog (below 1yr female) - piece (s)	74
second hand clothes - piece (s)	75
cutlass - piece (s)	76
beans - pan	77
knapsack sprayer - piece (s)	78
salt - polythene bag	79
ginger - polythene bag	80
cigarettes - box	81
garden eggs (solanu, ntroba) - half fertilizer bag	82
beans - fertilizer bag	83
cassava - half fertilizer bag	84
petrol - bottle (1L)	85
maize (corn) flour - half fertilizer bag	86
azumah blow soap - piece (s)	87
rice - polythene bag	88
flour (bread flour) - polythene bag	89
saucepans (aluminium) - set	90
mat - piece (s)	91
second hand clothes - small sack	92
kola nut/cola nut - polythene bag	93
sheep (1yr to 3yrs male) - piece (s)	94
mattress (12 inches s/s) - piece (s)	95
standing fan - piece (s)	96
frozen chicken - carton	97
