RegionName	team_number	selection	unique_product	commodity
Bono	1	1	female fowl, hen (1yr to 3yrs ) - piece (s)	1
Bono	1	1	empty gallon 25L - piece (s)	2
Bono	1	1	soap - box	3
Bono	1	1	yam (cocoyam,water yam) - sack	4
Bono	1	1	yam (cocoyam,water yam) - small sack	5
Bono	1	1	yam (cocoyam,water yam) - half sack	6
Bono	1	1	rice - bag 5kg	7
Bono	1	1	tomato paste - box	8
Bono	1	1	cooking (vegetable) oil - bottle (5L)	9
Bono	1	1	male fowl, cock (1yr to 3yrs) - piece (s)	10
Bono	1	1	firewood - pan	11
Bono	1	1	guinea fowl (1yr to 3yrs male) - piece (s)	12
Bono	1	1	lipton (teabag) - box	13
Bono	1	1	milk - box	14
Bono	1	1	yam (cocoyam,water yam) - pan	15
Bono	1	1	okro - pan	16
Bono	1	1	yam (cocoyam,water yam) - tuber	17
Bono	1	1	firewood - bundle	18
Bono	1	1	female fowl, hen (below 1yr) - piece (s)	19
Bono	1	1	goat (below 1yr male) - piece (s)	20
Bono	1	1	motor tyre - piece (s)	21
Bono	1	1	charcoal - sack	22
Bono	1	1	meat - small sack	23
Bono	1	1	cassava - tuber	24
Bono	1	1	fresh pepper - fertilizer bag	25
Bono	1	1	cassava - small sack	26
Bono	1	1	fresh pepper - basket	27
Bono	1	1	okro - small sack	28
Bono	1	1	dried okro (dry okro) - small sack	29
Bono	1	1	dried (dry) pepper - fertilizer bag	30
Bono	1	1	dried (dry) pepper - small sack	31
Bono	1	1	fresh tomatoes - rubber bag	32
Bono	1	1	dried (dry) pepper - polythene bag	33
Bono	1	1	second hand clothes - sack	34
Bono	1	1	bags - piece (s)	35
Bono	1	1	rice - bag 50kg	36
Bono	1	1	powdered pepper - polythene bag	37
Bono	1	1	maize (corn) flour - small sack	38
Bono	1	1	local broom - piece (s)	39
Bono	1	1	cooking pot (medium) - piece (s)	40
Bono	1	1	cement - bag 50kg	41
Bono	1	1	cooking (vegetable) oil - bottle (1.5L)	42
Bono	1	1	maize (corn) flour - half sack	43
Bono	1	1	soft drink (350ml) - pack (20)	44
Bono	1	1	power bank - piece (s)	45
Bono	1	1	pick axe - piece (s)	46
Bono	1	1	pick axe handle - piece (s)	47
Bono	1	1	mobile phone charger - piece (s)	48
Bono	1	1	sandals - sack	49
Bono	1	1	maize (corn) - small sack	50
Bono	1	1	okro - half sack	51
Bono	1	1	rice - bag 22.5kg	52
Bono	1	1	soft drink (350ml) - pack (12)	53
Bono	1	1	energy drink (350ml) - pack (12)	54
Bono	1	1	petrol - gallon (25L)	55
Bono	1	1	plantain - bunch	56
Bono	1	1	bread - tray	57
Bono	1	1	dried okro (dry okro) - polythene bag	58
Bono	1	1	cassava - pan	59
Bono	1	1	car tyres - piece (s)	60
Bono	1	1	onion - polythene bag	61
Bono	1	1	kokonte (cassava chips) - pan	62
Bono	1	1	okro - polythene bag	63
Bono	1	1	rice - rubber bag	64
Bono	1	1	okro - basket	65
Bono	1	1	petrol - gallon (5L)	66
Bono	1	1	beans - rubber bag	67
Bono	1	1	edible leaves (baobab leaves, kuuka, kipok, moringa leaves, waakye leaves, ademe, hibiscus leaves, sobolo leaves, bito) - rubber bag	68
Bono	1	1	maize (corn) - pan	69
Bono	1	1	maize (corn) - half sack	70
Bono	1	1	fresh pepper - small sack	71
Bono	1	1	charcoal - half sack	72
Bono	1	1	dog (1yr to 3yrs male) - piece (s)	73
Bono	1	1	dog (below 1yr female) - piece (s)	74
Bono	1	1	second hand clothes - piece (s)	75
Bono	1	1	cutlass - piece (s)	76
Bono	1	1	beans - pan	77
Bono	1	1	knapsack sprayer - piece (s)	78
Bono	1	1	salt - polythene bag	79
Bono	1	1	ginger - polythene bag	80
Bono	1	1	cigarettes - box	81
Bono	1	1	garden eggs (solanu, ntroba) - half fertilizer bag	82
Bono	1	1	beans - fertilizer bag	83
Bono	1	1	cassava - half fertilizer bag	84
Bono	1	1	petrol - bottle (1L)	85
Bono	1	1	maize (corn) flour - half fertilizer bag	86
Bono	1	1	azumah blow soap - piece (s)	87
Bono	1	1	rice - polythene bag	88
Bono	1	1	flour (bread flour) - polythene bag	89
Bono	1	1	saucepans (aluminium) - set	90
Bono	1	1	mat - piece (s)	91
Bono	1	1	second hand clothes - small sack	92
Bono	1	1	kola nut/cola nut - polythene bag	93
Bono	1	1	sheep (1yr to 3yrs male) - piece (s)	94
Bono	1	1	mattress (12 inches s/s) - piece (s)	95
Bono	1	1	standing fan - piece (s)	96
Bono	1	1	frozen chicken - carton	97
Bono	1	1	gari (kivo gari) - box	98
Bono	1	1	beans - polythene bag	99
Bono	1	1	spade - piece (s)	100
Bono	1	1	axe - piece (s)	101
Bono	1	1	energy drink (330ml) - pack (12)	102
Bono	1	1	bottled water (500ml, 0.5L) - pack (12)	103
Bono	1	1	gari - polythene bag	104
Bono	1	1	spaghetti - box (20)	105
Bono	1	1	second hand clothes - half sack	106
Bono	1	1	student mattress (3 inches) - piece (s)	107
Bono	1	1	kenkey - ball	108
Bono	1	1	empty barrel (200L) - piece (s)	109
Bono	1	1	maize (corn) - rubber bowl	110
Bono	1	1	beans - sack	111
Bono	1	1	canned soft drink (330ml) - pack (12)	112
Bono	1	1	mortar - piece (s)	113
Bono	1	1	weedicide - box	114
Bono	1	1	corn dough - small sack	115
Bono	1	1	cooking (vegetable) oil - gallon (5L)	116
Bono	1	1	azumah blow soap - half sack	117
Bono	1	1	coal pot (coalpot) - piece (s)	118
Bono	1	1	cooking pot (small) - piece (s)	119
Bono	1	1	sugar - bag 50kg	120
Bono	1	1	beans - half sack	121
Bono	1	1	goat (1yr to 3yrs female) - piece (s)	122
Bono	1	1	cassava - fertilizer bag	123
Bono	1	1	baby's cot - piece (s)	124
Bono	1	1	dried okro (dry okro) - fertilizer bag	125
Bono	1	1	dried okro (dry okro) - half sack	126
Bono	1	1	locust bean (dawadawa) - fertilizer bag	127
Bono	1	1	sandals - half sack	128
Bono	1	1	beans - small sack	129
Bono	1	1	dried (dry) fish (gblolovi, amani) - sack	130
Bono	1	1	salt - half sack	131
Bono	1	1	alcoholic drink (750ml) - box (12)	132
Bono	1	1	weedicide - bottle (1L)	133
Bono	1	1	dried groundnut (dry groundnut) - polythene bag	134
Bono	1	1	goat (1yr to 3yrs male) - piece (s)	135
Bono	1	1	meat - polythene bag	136
Bono	1	1	maize (corn) flour - polythene bag	137
Bono	1	1	bread - loaf	138
Bono	1	1	soya beans - fertilizer bag	139
Bono	1	1	sheep (1yr to 3yrs female) - piece (s)	140
Bono	1	1	dried groundnut (dry groundnut) - rubber bag	141
Bono	1	1	cooking pot (large) - piece (s)	142
Bono	1	1	charcoal - small sack	143
Bono	1	1	maize (corn) - fertilizer bag	144
Bono	1	1	solar panel - piece (s)	145
Bono	1	1	rice - bag 25kg	146
Bono	1	1	maize (corn) - small  sack	147
Bono	1	1	local herbs (mahogany bark ,mahogany herbs) - fertilizer bag	148
Bono	1	1	flat screen television (32 inches) - piece (s)	149
Bono	1	1	fresh tomatoes - rubber bowl	150
Bono	1	1	tomato paste - tin (2200g)	151
Bono	1	1	cooking (vegetable) oil - bottle (850ml)	152
Bono	1	1	agushie (melon seeds) - half sack	153
