rowcode	selection	commodity
6177	22	186
6178	22	544
6179	22	828
6180	22	695
6181	22	1219
6182	22	913
6183	22	981
6184	22	19
6185	22	1220
6186	22	117
6187	22	1042
6188	22	12
6189	22	50
6190	22	1221
6191	22	381
6192	22	83
6193	22	980
6194	22	10
6195	22	279
6196	22	540
6197	22	753
6198	22	698
6199	22	404
6200	22	147
6201	22	70
6202	22	768
6203	22	315
6204	22	125
6205	22	144
6206	22	375
6207	22	274
6208	22	1222
6209	22	809
6210	22	650
6211	22	766
6212	22	642
6213	22	132
6214	22	206
6215	22	1156
6216	22	219
6217	22	819
6218	22	111
6219	22	360
6220	22	44
6221	22	102
6222	22	937
6223	22	711
6224	22	135
6225	22	1
6226	22	129
6227	22	810
6228	22	121
6229	22	401
6230	22	155
6231	22	1100
6232	22	94
6233	22	379
6234	22	565
6235	22	38
6236	22	1005
6237	22	122
6238	22	88
6239	22	956
6240	22	139
6241	22	99
6242	22	498
6243	22	16
6244	22	26
6245	22	51
6246	22	1000
6247	22	150
6248	22	450
6249	22	352
6250	22	466
6251	22	505
6252	22	64
6253	22	269
6254	22	554
6255	22	151
6256	22	399
6257	22	98
6258	22	196
6259	22	812
6260	22	284
6261	22	86
6262	22	328
6263	22	20
6264	22	438
6265	22	748
6266	22	914
6267	22	146
6268	22	41
6269	22	343
6270	22	7
6271	22	36
6272	22	424
6273	22	976
6274	22	1223
6275	22	55
6276	22	520
6277	22	883
6278	22	18
6279	22	742
6280	22	234
6281	22	1224
6282	22	363
6283	22	84
6284	22	897
6285	22	104
6286	22	986
6287	22	1126
6288	22	815
6289	22	5
6290	22	21
6291	22	298
6292	22	721
6293	22	790
6294	22	246
6295	22	1114
6296	22	432
6297	22	440
6298	22	264
6299	22	356
6300	22	43
6301	22	4
6302	22	1018
6303	22	556
6304	22	133
6305	22	1225
6306	22	1218
6307	22	344
6308	22	1217
6309	22	283
6310	22	410
6311	22	3
6312	22	2
6313	22	561
6314	22	1166
6315	22	1169
6316	22	69
6317	22	917
6318	22	175
6319	22	53
6320	22	1226
6321	22	73
6322	22	749
6323	22	190
6324	22	492
6325	22	300
6326	22	221
6327	22	993
6328	22	223
6329	22	66
6330	22	667
6331	22	1227
6332	22	1228
6333	22	470
6334	22	293
6335	22	351
6336	22	1229
6337	22	1230
6338	22	451
6339	22	17
6340	22	34
6341	22	463
6342	22	796
6343	22	138
6344	22	1231
6345	22	515
6346	22	110
6347	22	239
6348	22	1028
6349	22	950
6350	22	116
6351	22	574
6352	22	353
6353	22	225
6354	22	843
6355	22	178
6356	22	975
6357	22	1038
6358	22	158
6359	22	658
6360	22	8
6361	22	280
6362	22	74
6363	22	161
6364	22	409
6365	22	1232
6366	22	1233
6367	22	153
6368	22	464
6369	22	1234
6370	22	1235
6371	22	76
6372	22	250
6373	22	1236
6374	22	310
6375	22	1237
6376	22	682
6377	22	672
6378	22	92
6379	22	795
6380	22	597
6381	22	475
6382	22	673
6383	22	28
6384	22	22
6385	22	426
6386	22	281
6387	22	251
6388	22	229
6389	22	881
6390	22	552
6391	22	78
6392	22	462
6393	22	211
6394	22	341
6395	22	75
6396	22	235
6397	22	836
6398	22	1238
6399	22	751
6400	22	1147
6401	22	1074
6402	22	1239
6403	22	512
6404	22	253
6405	22	971
6406	22	81
6407	22	940
6408	22	323
6409	22	734
6410	22	422
6411	22	760
6412	22	131
6413	22	446
6414	22	1250
6415	22	181
6416	22	547
6417	22	782
6418	22	265
6419	22	220
6420	22	797
6421	22	1063
6422	22	1102
6423	22	1248
6424	22	966
6425	22	1243
6426	22	637
6427	22	120
6428	22	31
6429	22	58
6430	22	385
6431	22	864
6432	22	243
6433	22	763
6434	22	872
6435	22	52
6436	22	32
6437	22	136
6438	22	1298
6439	22	97
6440	22	949
6441	22	333
6442	22	616
6443	22	918
6444	22	197
6445	22	357
6446	22	643
6447	22	182
6448	22	747
6449	22	1036
6450	22	507
6451	22	786
6452	22	888
6453	22	292
6454	22	884
6455	22	67
6456	22	255
6457	22	63
6458	22	744
6459	22	582
6460	22	238
6461	22	416
6462	22	285
6463	22	1121
6464	22	1191
6465	22	984
6466	22	361
6467	22	33
6468	22	560
6469	22	1299
6470	22	359
6471	22	691
6472	22	61
6473	22	647
6474	22	570
6475	22	1269
6476	22	1241
6477	22	1148
6478	22	65
6479	22	123
6480	22	1257
6481	22	456
6482	22	11
6483	22	1277
6484	22	959
6485	22	173
6486	22	568
6487	22	77
6488	22	79
6489	22	248
6490	22	137
6491	22	732
6492	22	1215
6493	22	207
6494	22	316
6495	22	1024
6496	22	1300
6497	22	106
6498	22	467
6499	22	30
6500	22	1301
6501	22	445
6502	22	228
6503	22	387
6504	22	358
6505	22	210
6506	22	549
6507	22	48
6508	22	805
6509	22	598
6510	22	494
6511	22	945
6512	22	1302
6513	22	1303
6514	22	770
6515	22	40
6516	22	1304
6517	22	142
6518	22	660
6519	22	260
6520	22	1305
6521	22	109
6522	22	331
6523	22	668
6524	22	486
6525	22	37
6526	22	465
6527	22	661
6528	22	263
6529	22	1306
6530	22	414
6531	22	957
6532	22	460
6533	22	1292
6534	22	1141
6535	22	706
6536	22	23
6537	22	1247
6538	22	294
6539	22	1285
6540	22	964
6541	22	988
6542	22	56
6543	22	1296
6544	22	1307
6545	22	1276
6546	22	1189
6547	22	113
6548	22	1273
6549	22	679
6550	22	128
6551	22	96
6552	22	320
6553	22	1008
6554	22	600
6555	22	771
6556	22	91
6557	22	584
6558	22	130
6559	22	1013
6560	22	543
6561	22	237
6562	22	24
6563	22	105
6564	22	1289
6565	22	585
6566	22	29
6567	22	14
6568	22	708
6569	22	670
6570	22	1143
6571	22	823
6572	22	126
6573	22	405
6574	22	495
6575	22	154
6576	22	143
6577	23	117
6578	23	470
6579	23	950
6580	23	1240
6581	23	55
6582	23	396
6583	23	1166
6584	23	18
6585	23	1063
6586	23	1147
6587	23	110
6588	23	186
6589	23	193
6590	23	245
6591	23	279
6592	23	19
6593	23	770
6594	23	219
6595	23	320
6596	23	38
6597	23	234
6598	23	157
6599	23	83
6600	23	917
6601	23	1038
6602	23	161
6603	23	832
6604	23	913
6605	23	996
6606	23	121
6607	23	401
6608	23	3
6609	23	1220
6610	23	69
6611	23	642
6612	23	70
6613	23	111
6614	23	937
6615	23	87
6616	23	116
6617	23	741
6618	23	872
6619	23	155
6620	23	11
6621	23	1241
6622	23	490
6623	23	276
6624	23	112
6625	23	77
6626	23	717
6627	23	74
6628	23	833
6629	23	75
6630	23	1013
6631	23	1218
6632	23	611
6633	23	856
6634	23	1223
6635	23	585
6636	23	1175
6637	23	414
6638	23	1102
6639	23	91
6640	23	1221
6641	23	50
6642	23	975
6643	23	86
6644	23	1128
6645	23	695
6646	23	143
6647	23	150
6648	23	768
6649	23	22
6650	23	1227
6651	23	676
6652	23	525
6653	23	811
6654	23	129
6655	23	980
6656	23	72
6657	23	140
6658	23	817
6659	23	809
6660	23	828
6661	23	1242
6662	23	977
6663	23	1173
6664	23	125
6665	23	261
6666	23	88
6667	23	1235
6668	23	904
6669	23	542
6670	23	6
6671	23	381
6672	23	1040
6673	23	1285
6674	23	360
6675	23	5
6676	23	99
6677	23	1143
6678	23	104
6679	23	94
6680	23	342
6681	23	445
6682	23	156
6683	23	1233
6684	23	102
6685	23	388
6686	23	987
6687	23	474
6688	23	247
6689	23	166
6690	23	173
6691	23	149
6692	23	1289
6693	23	495
6694	23	376
6695	23	206
6696	23	656
6697	23	552
6698	23	81
6699	23	1059
6700	23	43
6701	23	981
6702	23	298
6703	23	691
6704	23	106
6705	23	539
6706	23	175
6707	23	540
6708	23	130
6709	23	53
6710	23	66
6711	23	223
6712	23	687
6713	23	1290
6714	23	775
6715	23	1234
6716	23	597
6717	23	1291
6718	23	1098
6719	23	515
6720	23	34
6721	23	1005
6722	23	528
6723	23	1236
6724	23	1276
6725	23	1017
6726	23	404
6727	23	142
6728	23	338
6729	23	187
6730	23	174
6731	23	1243
6732	23	20
6733	23	466
6734	23	673
6735	23	379
6736	23	153
6737	23	44
6738	23	21
6739	23	957
6740	23	660
6741	23	1250
6742	23	98
6743	23	30
6744	23	734
6745	23	1100
6746	23	1269
6747	23	706
6748	23	386
6749	23	258
6750	23	460
6751	23	790
6752	23	17
6753	23	280
6754	23	698
6755	23	1028
6756	23	771
6757	23	54
6758	23	465
6759	23	41
6760	23	877
6761	23	178
6762	23	384
6763	23	618
6764	23	144
6765	23	778
6766	23	760
6767	23	1292
6768	23	96
6769	23	520
6770	23	25
6771	23	1095
6772	23	472
6773	23	139
6774	23	8
6775	23	114
6776	23	544
6777	23	923
6778	23	341
6779	23	16
6780	23	413
6781	23	547
6782	23	432
6783	23	416
6784	23	617
6785	23	48
6786	23	565
6787	23	190
6788	23	375
6789	23	145
6790	23	398
6791	23	85
6792	23	339
6793	23	1094
6794	23	138
6795	23	742
6796	23	1112
6797	23	753
6798	23	265
6799	23	10
6800	23	122
6801	23	1248
6802	23	756
6803	23	361
6804	23	1156
6805	23	105
6806	23	848
6807	23	120
6808	23	849
6809	23	587
6810	23	385
6811	23	1230
6812	23	616
6813	23	1293
6814	23	961
6815	23	1076
6816	23	1294
6817	23	1222
6818	23	405
6819	23	467
6820	23	40
6821	23	235
6822	23	627
6823	23	284
6824	23	319
6825	23	128
6826	23	323
6827	23	78
6828	23	571
6829	23	312
