rowcode	selection	commodity
11175	35	50
11176	35	22
11177	35	70
11178	35	283
11179	35	110
11180	35	87
11181	35	5
11182	35	1381
11183	35	735
11184	35	17
11185	35	81
11186	35	66
11187	35	175
11188	35	360
11189	35	461
11190	35	55
11191	35	1024
11192	35	6
11193	35	585
11194	35	449
11195	35	917
11196	35	505
11197	35	1156
11198	35	85
11199	35	72
11200	35	996
11201	35	54
11202	35	1185
11203	35	811
11204	35	156
11205	35	19
11206	35	510
11207	35	133
11208	35	228
11209	35	1079
11210	35	353
11211	35	253
11212	35	251
11213	35	769
11214	35	114
11215	35	38
11216	35	676
11217	35	940
11218	35	808
11219	35	937
11220	35	616
11221	35	1038
11222	35	120
11223	35	7
11224	35	144
11225	35	544
11226	35	1276
11227	35	31
11228	35	126
11229	35	1234
11230	35	129
11231	35	741
11232	35	121
11233	35	32
11234	35	1236
11235	35	950
11236	35	992
11237	35	279
11238	35	29
11239	35	138
11240	35	111
11241	35	1242
11242	35	1233
11243	35	1222
11244	35	588
11245	35	244
11246	35	750
11247	35	190
11248	35	556
11249	35	3
11250	35	39
11251	35	295
11252	35	352
11253	35	997
11254	35	161
11255	35	871
11256	35	145
11257	35	739
11258	35	13
11259	35	90
11260	35	851
11261	35	503
11262	35	18
11263	35	254
11264	35	664
11265	35	850
11266	35	1081
11267	35	1173
11268	35	1
11269	35	146
11270	35	1059
11271	35	469
11272	35	495
11273	35	446
11274	35	863
11275	35	255
11276	35	1376
11277	35	1042
11278	35	285
11279	35	956
11280	35	786
11281	35	401
11282	35	1147
11283	35	809
11284	35	525
11285	35	1265
11286	35	59
11287	35	466
11288	35	515
11289	35	1166
11290	35	981
11291	35	1235
11292	35	93
11293	35	342
11294	35	44
11295	35	211
11296	35	157
11297	35	543
11298	35	629
11299	35	152
11300	35	698
11301	35	751
11302	35	104
11303	35	907
11304	35	358
11305	35	594
11306	35	153
11307	35	62
11308	35	938
11309	35	48
11310	35	250
11311	35	160
11312	35	1218
11313	35	790
11314	35	642
11315	35	28
11316	35	71
11317	35	844
11318	35	63
11319	35	74
11320	35	582
11321	35	379
11322	35	535
11323	35	40
11324	35	430
11325	35	147
11326	35	186
11327	35	26
11328	35	12
11329	35	306
11330	35	79
11331	35	406
11332	35	1328
11333	35	382
11334	35	75
11335	35	334
11336	35	416
11337	35	916
11338	35	552
11339	35	1215
11340	35	49
11341	35	43
11342	35	1329
11343	35	116
11344	35	123
11345	35	913
11346	35	783
11347	35	1025
11348	35	206
11349	35	20
11350	35	765
11351	35	399
11352	35	619
11353	35	94
11354	35	1231
11355	35	1074
11356	35	1317
11357	35	346
11358	35	489
11359	35	812
11360	35	527
11361	35	1380
11362	35	1343
11363	35	10
11364	35	84
11365	35	998
11366	35	788
11367	35	1414
11368	35	97
11369	35	234
11370	35	1262
11371	35	1143
11372	35	768
11373	35	168
11374	35	140
11375	35	1248
11376	35	1247
11377	35	524
11378	35	34
11379	35	132
11380	35	507
11381	35	4
11382	35	1087
11383	35	1293
11384	35	15
11385	35	1043
11386	35	819
11387	35	434
11388	35	1032
11389	35	766
11390	35	141
11391	35	118
11392	35	450
11393	35	771
11394	35	136
11395	35	21
11396	35	846
11397	35	166
11398	35	134
11399	35	1198
11400	35	261
11401	35	789
11402	35	267
11403	35	149
11404	35	96
11405	35	679
11406	35	280
11407	35	289
11408	35	1308
11409	35	512
11410	35	465
11411	35	395
11412	35	799
11413	35	445
11414	35	587
11415	35	1402
11416	35	589
11417	35	1305
11418	35	426
11419	35	8
11420	35	526
11421	35	284
11422	35	898
11423	35	1289
11424	35	1442
11425	35	796
11426	35	323
11427	35	947
11428	35	468
11429	35	1333
11430	35	930
11431	35	117
11432	35	1102
11433	35	647
11434	35	1008
11435	35	61
11436	35	920
11437	35	385
11438	35	597
11439	35	302
11440	35	376
11441	35	455
11442	35	881
11443	35	665
11444	35	320
11445	35	717
11446	35	1243
11447	35	828
11448	35	202
11449	35	976
11450	35	174
11451	35	221
11452	35	113
11453	35	487
11454	35	262
11455	35	1063
11456	35	810
11457	35	1237
11458	35	210
11459	35	16
11460	35	135
11461	35	345
11462	35	410
11463	35	404
11464	35	308
11465	35	41
11466	35	1459
11467	35	782
11468	35	618
11469	35	671
11470	35	673
11471	35	817
11472	35	1117
11473	35	231
11474	35	816
11475	35	542
11476	35	314
11477	35	78
11478	35	884
11479	35	467
11480	35	795
11481	35	53
11482	35	150
11483	35	888
11484	35	327
11485	35	463
11486	35	814
11487	35	666
11488	35	227
11489	35	30
