rowcode	selection	commodity
14999	47	492
15000	47	30
15001	47	278
15002	47	181
15003	47	1327
15004	47	186
15005	47	6
15006	47	695
15007	47	817
15008	47	1505
15009	47	71
15010	47	221
15011	47	1053
15012	47	150
15013	47	824
15014	47	562
15015	47	616
15016	47	643
15017	47	478
15018	47	70
15019	47	320
15020	47	21
15021	47	63
15022	47	79
15023	47	556
15024	47	18
15025	47	945
15026	47	691
15027	47	664
15028	47	424
15029	47	742
15030	47	56
15031	47	189
15032	47	552
15033	47	132
15034	47	761
15035	47	448
15036	47	588
15037	47	559
15038	47	819
15039	47	1506
15040	47	114
15041	47	204
15042	47	203
15043	47	876
15044	47	156
15045	47	654
15046	47	144
15047	47	57
15048	47	33
15049	47	902
15050	47	317
15051	47	246
15052	47	91
15053	47	102
15054	47	489
15055	47	36
15056	47	269
15057	47	48
15058	47	323
15059	47	749
15060	47	907
15061	47	180
15062	47	431
15063	47	459
15064	47	756
15065	47	863
15066	47	83
15067	47	106
15068	47	815
15069	47	76
15070	47	275
15071	47	116
15072	47	212
15073	47	286
15074	47	379
15075	47	43
15076	47	326
15077	47	39
15078	47	314
15079	47	884
15080	47	11
15081	47	41
15082	47	77
15083	47	1507
15084	47	7
15085	47	797
15086	47	296
15087	47	619
15088	47	531
15089	47	75
15090	47	393
15091	47	1508
15092	47	55
15093	47	1114
15094	47	228
15095	47	37
15096	47	191
15097	47	732
15098	47	87
15099	47	1156
15100	47	78
15101	47	145
15102	47	256
15103	47	1289
15104	47	432
15105	47	301
15106	47	1509
15107	47	950
15108	47	430
15109	47	344
15110	47	433
15111	47	894
15112	47	1510
15113	47	493
15114	47	25
15115	47	2
15116	47	725
15117	47	818
15118	47	284
15119	47	400
15120	47	506
15121	47	226
15122	47	674
15123	47	105
15124	47	1511
15125	47	1512
15126	47	126
15127	47	801
15128	47	585
15129	47	131
15130	47	511
15131	47	590
15132	47	294
15133	47	786
15134	47	257
15135	47	34
15136	47	196
15137	47	157
15138	47	111
15139	47	1164
15140	47	333
15141	47	17
15142	47	51
15143	47	744
15144	47	26
15145	47	231
15146	47	324
15147	47	1513
15148	47	357
15149	47	54
15150	47	826
15151	47	469
15152	47	343
15153	47	748
15154	47	1516
15155	47	373
15156	47	4
15157	47	1132
15158	47	495
15159	47	516
15160	47	138
15161	47	865
15162	47	174
15163	47	770
15164	47	175
15165	47	666
15166	47	1002
15167	47	235
15168	47	486
15169	47	538
15170	47	816
15171	47	936
15172	47	42
15173	47	1215
15174	47	698
15175	47	404
15176	47	361
15177	47	434
15178	47	65
15179	47	64
15180	47	329
15181	47	1209
15182	47	401
15183	47	813
15184	47	292
15185	47	146
15186	47	121
15187	47	388
15188	47	129
15189	47	832
15190	47	1303
15191	47	1065
15192	47	582
15193	47	247
15194	47	410
15195	47	800
15196	47	84
15197	47	941
15198	47	302
15199	47	1113
15200	47	161
15201	47	290
15202	47	468
15203	47	227
15204	47	821
15205	47	924
15206	47	216
15207	47	905
15208	47	349
15209	47	35
15210	47	593
15211	47	398
15212	47	836
15213	47	535
15214	47	447
15215	47	487
15216	47	890
15217	47	399
15218	47	59
15219	47	120
15220	47	254
15221	47	1180
15222	47	1163
15223	47	610
15224	47	686
15225	47	1530
15226	47	16
15227	47	101
15228	47	22
15229	47	109
15230	47	952
15231	47	944
15232	47	539
15233	47	774
15234	47	352
15235	47	528
15236	47	699
15237	47	452
15238	47	954
15239	47	1531
15240	47	81
15241	47	27
15242	47	1518
15243	47	8
15244	47	974
15245	47	1143
15246	47	1390
15247	47	937
15248	47	234
15249	47	814
15250	47	717
15251	47	1084
15252	47	870
15253	47	99
15254	47	276
15255	47	1010
15256	47	153
15257	47	29
15258	47	374
15259	47	477
15260	47	1442
15261	47	898
15262	47	1389
15263	47	670
15264	47	811
15265	47	1532
15266	47	166
15267	47	764
15268	47	281
15269	47	1041
15270	47	1120
15271	47	867
15272	47	463
15273	47	98
15274	47	995
15275	47	259
15276	47	591
15277	47	1072
15278	47	438
15279	47	366
15280	47	3
15281	47	1014
15282	47	1533
15283	47	1296
15284	47	835
15285	47	513
15286	47	838
15287	47	750
15288	47	1339
15289	47	1534
15290	47	199
15291	47	261
15292	47	1159
15293	47	280
15294	47	622
15295	47	334
15296	47	1217
15297	47	1519
15298	47	545
15299	47	1078
15300	47	1146
15301	47	179
15302	47	1070
15303	47	149
15304	47	1401
15305	47	646
15306	47	437
15307	47	1329
15308	47	888
15309	47	976
15310	47	1236
15311	47	15
15312	47	987
15313	47	118
15314	47	45
15315	47	66
15316	47	868
15317	47	14
15318	47	806
15319	47	1016
15320	47	860
15321	47	295
15322	47	391
15323	47	1367
15324	47	243
15325	47	190
15326	47	882
15327	47	947
15328	47	277
15329	47	626
15330	47	1334
15331	47	1049
15332	47	1333
15333	47	775
15334	47	812
15335	47	416
15336	47	316
15337	47	881
15338	47	450
15339	47	331
15340	47	309
15341	47	1535
15342	47	310
15343	47	360
15344	47	241
15345	47	330
15346	47	723
15347	47	848
15348	47	673
15349	47	219
15350	47	414
15351	47	597
15352	48	50
15353	48	445
15354	48	1514
15355	48	129
15356	48	111
15357	48	425
15358	48	878
15359	48	177
15360	48	221
15361	48	744
15362	48	1078
15363	48	255
15364	48	431
15365	48	1146
15366	48	138
15367	48	352
15368	48	756
15369	48	106
15370	48	56
15371	48	203
15372	48	495
15373	48	234
15374	48	344
15375	48	674
15376	48	917
15377	48	146
15378	48	381
15379	48	26
15380	48	585
15381	48	6
15382	48	70
15383	48	180
15384	48	156
15385	48	950
15386	48	33
15387	48	186
15388	48	324
15389	48	393
15390	48	174
15391	48	262
15392	48	292
15393	48	337
15394	48	643
15395	48	610
15396	48	34
15397	48	646
15398	48	907
15399	48	711
15400	48	642
15401	48	1165
15402	48	110
15403	48	865
15404	48	274
15405	48	88
15406	48	469
15407	48	133
15408	48	401
15409	48	645
15410	48	277
15411	48	39
15412	48	36
15413	48	197
15414	48	229
15415	48	212
15416	48	357
15417	48	269
15418	48	219
15419	48	323
15420	48	17
15421	48	328
15422	48	492
15423	48	5
15424	48	60
15425	48	206
15426	48	19
15427	48	86
15428	48	112
15429	48	91
15430	48	1297
15431	48	388
15432	48	71
15433	48	210
15434	48	99
15435	48	132
15436	48	121
15437	48	1437
15438	48	665
15439	48	120
15440	48	223
15441	48	797
15442	48	238
15443	48	1100
15444	48	991
15445	48	1511
15446	48	1094
15447	48	513
15448	48	54
15449	48	4
15450	48	1382
15451	48	187
15452	48	450
15453	48	144
15454	48	980
15455	48	181
15456	48	1156
15457	48	1
15458	48	233
15459	48	155
15460	48	784
15461	48	1243
15462	48	227
15463	48	1515
15464	48	1257
15465	48	247
15466	48	298
15467	48	241
15468	48	900
15469	48	63
15470	48	333
15471	48	256
15472	48	22
15473	48	293
15474	48	742
15475	48	552
15476	48	250
15477	48	123
15478	48	191
15479	48	251
15480	48	161
15481	48	193
15482	48	848
15483	48	97
15484	48	360
15485	48	309
15486	48	478
15487	48	1042
15488	48	464
15489	48	84
15490	48	1226
15491	48	713
15492	48	55
15493	48	113
15494	48	732
15495	48	619
15496	48	689
15497	48	452
15498	48	38
15499	48	913
15500	48	650
15501	48	1220
15502	48	310
15503	48	3
15504	48	526
15505	48	81
15506	48	1093
15507	48	10
15508	48	355
15509	48	1173
15510	48	66
15511	48	18
15512	48	43
15513	48	938
15514	48	190
15515	48	673
15516	48	179
15517	48	688
15518	48	568
15519	48	1522
15520	48	573
15521	48	1032
15522	48	90
15523	48	102
15524	48	243
15525	48	570
15526	48	783
15527	48	134
15528	48	76
15529	48	515
15530	48	786
15531	48	261
15532	48	740
15533	48	893
15534	48	189
15535	48	78
15536	48	32
15537	48	400
15538	48	61
15539	48	80
15540	48	1102
15541	48	968
15542	48	1281
15543	48	114
15544	48	728
15545	48	1228
15546	48	461
15547	48	505
15548	48	130
15549	48	246
15550	48	79
15551	48	399
15552	48	818
15553	48	905
15554	48	639
15555	48	231
15556	48	376
15557	48	1095
15558	48	288
15559	48	1011
15560	48	48
15561	48	336
15562	48	65
15563	48	686
15564	48	200
15565	48	173
15566	48	978
15567	48	695
15568	48	59
15569	48	719
15570	48	1474
15571	48	11
15572	48	512
15573	48	329
15574	48	353
15575	48	214
15576	48	814
15577	48	716
15578	48	330
15579	48	1523
15580	48	1000
15581	48	812
15582	48	280
15583	48	411
15584	48	914
15585	48	283
15586	48	27
15587	48	154
15588	48	424
15589	48	412
15590	48	525
15591	48	843
15592	48	1128
15593	48	465
15594	48	306
15595	48	467
15596	48	341
15597	48	377
15598	48	1009
15599	48	862
15600	48	87
15601	48	693
15602	48	21
15603	48	318
15604	48	1132
15605	48	910
15606	48	1084
15607	48	176
15608	48	175
15609	48	426
15610	48	347
15611	48	8
15612	48	795
15613	48	657
15614	48	35
15615	48	1006
15616	48	28
15617	48	135
15618	48	832
15619	48	627
15620	48	416
15621	48	294
15622	48	404
15623	48	361
15624	48	75
15625	48	284
15626	48	14
15627	48	64
15628	48	413
15629	48	963
15630	48	692
15631	48	72
15632	48	681
15633	48	379
15634	48	595
15635	48	737
15636	48	105
15637	48	12
15638	48	1536
15639	48	83
15640	48	235
15641	48	204
15642	48	975
15643	48	192
15644	48	537
15645	48	466
15646	48	92
15647	48	145
15648	48	1537
15649	48	541
15650	48	776
15651	48	1262
15652	48	542
15653	48	1273
15654	48	1538
15655	48	291
15656	48	887
15657	48	828
15658	48	600
15659	48	838
15660	48	1539
15661	48	116
15662	48	82
15663	48	199
15664	48	708
15665	48	775
15666	48	53
15667	48	115
15668	48	414
15669	48	507
15670	48	771
15671	48	157
15672	48	107
15673	48	148
15674	48	722
15675	48	1148
15676	48	302
15677	48	565
15678	48	956
15679	48	98
15680	48	1074
