rowcode	selection	commodity
20572	60	489
20573	60	63
20574	60	138
20575	60	55
20576	60	66
20577	60	54
20578	60	216
20579	60	1036
20580	60	1231
20581	60	331
20582	60	280
20583	60	253
20584	60	698
20585	60	102
20586	60	751
20587	60	314
20588	60	635
20589	60	597
20590	60	116
20591	60	51
20592	60	186
20593	60	160
20594	60	113
20595	60	196
20596	60	466
20597	60	554
20598	60	144
20599	60	545
20600	60	708
20601	60	105
20602	60	589
20603	60	809
20604	60	3
20605	60	1132
20606	60	409
20607	60	766
20608	60	1063
20609	60	266
20610	60	135
20611	60	57
20612	60	234
20613	60	810
20614	60	642
20615	60	768
20616	60	221
20617	60	40
20618	60	119
20619	60	227
20620	60	511
20621	60	118
20622	60	146
20623	60	52
20624	60	36
20625	60	120
20626	60	334
20627	60	166
20628	60	364
20629	60	192
20630	60	753
20631	60	701
20632	60	177
20633	60	247
20634	60	786
20635	60	180
20636	60	8
20637	60	175
20638	60	441
20639	60	375
20640	60	326
20641	60	1256
20642	60	275
20643	60	301
20644	60	434
20645	60	806
20646	60	654
20647	60	252
20648	60	281
20649	60	971
20650	60	228
20651	60	424
20652	60	512
20653	60	295
20654	60	346
20655	60	544
20656	60	350
20657	60	35
20658	60	1025
20659	60	156
20660	60	341
20661	60	525
20662	60	320
20663	60	404
20664	60	352
20665	60	112
20666	60	18
20667	60	975
20668	60	1214
20669	60	828
20670	60	302
20671	60	795
20672	60	893
20673	60	34
20674	60	1605
20675	60	1606
20676	60	78
20677	60	133
20678	60	1607
20679	60	353
20680	60	56
20681	60	460
20682	60	997
20683	60	261
20684	60	1406
20685	60	206
20686	60	319
20687	60	11
20688	60	17
20689	60	15
20690	60	376
20691	60	72
20692	60	121
20693	60	6
20694	60	924
20695	60	1326
20696	60	1220
20697	60	173
20698	60	77
20699	60	980
20700	60	7
20701	60	9
20702	60	199
20703	60	556
20704	60	2
20705	60	4
20706	60	467
20707	60	1005
20708	60	471
20709	60	744
20710	60	682
20711	60	374
20712	60	623
20713	60	267
20714	60	987
20715	60	131
20716	60	360
20717	60	104
20718	60	150
20719	60	1
20720	60	85
20721	60	538
20722	60	414
20723	60	53
20724	60	492
20725	60	1052
20726	60	263
20727	60	178
20728	60	521
20729	60	790
20730	60	410
20731	60	415
20732	60	1250
20733	60	381
20734	60	98
20735	60	398
20736	60	202
20737	60	1368
20738	60	814
20739	60	1242
20740	60	474
20741	60	426
20742	60	696
20743	60	917
20744	60	70
20745	60	1074
20746	60	80
20747	60	898
20748	60	39
20749	60	232
20750	60	97
20751	60	618
20752	60	1048
20753	60	76
20754	60	315
20755	60	43
20756	60	670
20757	60	161
20758	60	559
20759	60	615
20760	60	539
20761	60	286
20762	60	19
20763	60	540
20764	60	565
20765	60	396
20766	60	10
20767	60	445
20768	60	764
20769	60	1181
20770	60	1613
20771	60	487
20772	60	1262
20773	60	212
20774	60	157
20775	60	600
20776	60	662
20777	60	380
20778	60	277
20779	60	294
20780	60	356
20781	61	55
20782	61	505
20783	61	76
20784	61	138
20785	61	136
20786	61	4
20787	61	50
20788	61	52
20789	61	463
20790	61	17
20791	61	279
20792	61	539
20793	61	66
20794	61	51
20795	61	214
20796	61	120
20797	61	382
20798	61	118
20799	61	310
20800	61	228
20801	61	327
20802	61	40
20803	61	1351
20804	61	19
20805	61	97
20806	61	428
20807	61	538
20808	61	54
20809	61	10
20810	61	1
20811	61	414
20812	61	232
20813	61	315
20814	61	212
20815	61	1059
20816	61	211
20817	61	39
20818	61	85
20819	61	692
20820	61	273
20821	61	70
20822	61	60
20823	61	36
20824	61	567
20825	61	647
20826	61	585
20827	61	461
20828	61	53
20829	61	314
20830	61	404
20831	61	474
20832	61	394
20833	61	6
20834	61	971
20835	61	492
20836	61	324
20837	61	331
20838	61	1074
20839	61	507
20840	61	445
20841	61	21
20842	61	201
20843	61	14
20844	61	234
20845	61	196
20846	61	502
20847	61	41
20848	61	286
20849	61	43
20850	61	98
20851	61	1062
20852	61	750
20853	61	1250
20854	61	105
20855	61	104
20856	61	980
20857	61	1219
20858	61	161
20859	61	751
20860	61	132
20861	61	695
20862	61	379
20863	61	251
20864	61	253
20865	61	648
20866	61	1122
20867	61	652
20868	61	376
20869	61	1214
20870	61	1566
20871	61	1086
20872	61	126
20873	61	701
20874	61	602
20875	61	221
20876	61	1148
20877	61	742
20878	61	326
20879	61	146
20880	61	484
20881	61	9
20882	61	308
20883	61	1303
20884	61	522
20885	61	902
20886	61	7
20887	61	8
20888	61	49
20889	61	34
20890	61	336
20891	61	627
20892	61	466
20893	61	15
20894	61	768
20895	61	1063
20896	61	757
20897	61	94
20898	61	91
20899	61	175
20900	61	708
20901	61	786
20902	61	306
20903	61	179
20904	61	375
20905	61	283
20906	61	186
20907	61	2
20908	61	261
20909	61	3
20910	61	422
20911	61	795
20912	61	360
20913	61	356
20914	61	172
20915	61	1028
20916	61	267
20917	61	790
20918	61	574
20919	61	298
20920	61	766
20921	61	1204
20922	61	1406
20923	61	782
20924	61	22
20925	61	800
20926	61	753
20927	61	197
20928	61	380
20929	61	930
20930	61	247
20931	61	460
20932	61	470
20933	61	295
20934	61	387
20935	61	600
20936	61	1035
20937	61	224
20938	61	516
20939	61	1132
20940	61	385
20941	61	102
20942	61	434
20943	61	166
20944	61	334
20945	61	113
20946	61	1608
20947	61	744
20948	61	544
20949	61	87
20950	61	616
20951	61	156
20952	61	810
20953	61	500
20954	61	219
20955	61	192
20956	61	777
20957	61	1556
20958	61	180
20959	61	546
20960	61	596
20961	61	501
20962	61	176
20963	61	1039
20964	61	1090
20965	61	624
20966	61	206
20967	61	588
20968	61	346
20969	61	252
20970	61	359
20971	61	806
20972	61	1609
20973	61	1610
20974	61	233
20975	61	568
20976	61	130
20977	61	1238
20978	61	1385
20979	61	109
20980	61	121
20981	61	996
20982	61	975
20983	61	1217
20984	61	495
20985	61	388
20986	61	277
20987	61	1611
20988	61	698
20989	61	57
20990	61	924
20991	61	848
20992	61	339
20993	61	56
20994	61	294
20995	61	597
20996	61	319
20997	61	318
20998	61	280
20999	61	1242
21000	61	873
21001	61	1263
21002	61	511
21003	61	392
21004	61	1005
21005	61	409
21006	61	444
21007	61	72
21008	61	265
21009	61	682
21010	61	1181
21011	61	861
21012	61	301
21013	61	545
21014	61	96
21015	61	20
21016	61	116
21017	61	238
21018	61	629
21019	61	345
21020	61	128
21021	61	916
21022	61	1105
21023	61	149
21024	61	1021
21025	61	143
21026	61	106
21027	61	399
21028	61	497
21029	61	1326
21030	61	643
21031	61	111
21032	61	278
21033	61	1612
21034	61	266
21035	62	593
21036	62	70
21037	62	684
21038	62	424
21039	62	34
21040	62	801
21041	62	81
21042	62	803
21043	62	339
21044	62	261
21045	62	751
21046	62	320
21047	62	467
21048	62	298
21049	62	414
21050	62	196
21051	62	717
21052	62	180
21053	62	773
21054	62	271
21055	62	102
21056	62	916
21057	62	686
21058	62	97
21059	62	348
21060	62	13
21061	62	487
21062	62	399
21063	62	197
21064	62	105
21065	62	8
21066	62	265
21067	62	238
21068	62	186
21069	62	182
21070	62	556
21071	62	120
21072	62	602
21073	62	234
21074	62	374
21075	62	3
21076	62	270
21077	62	597
21078	62	54
21079	62	36
21080	62	176
21081	62	21
21082	62	68
21083	62	753
21084	62	463
21085	62	546
21086	62	179
21087	62	808
21088	62	1168
21089	62	436
21090	62	284
21091	62	56
21092	62	744
21093	62	437
21094	62	314
21095	62	404
21096	62	17
21097	62	216
21098	62	174
21099	62	121
21100	62	626
21101	62	114
21102	62	76
21103	62	461
21104	62	146
21105	62	353
21106	62	55
21107	62	135
21108	62	112
21109	62	98
21110	62	893
21111	62	7
21112	62	219
21113	62	345
21114	62	768
21115	62	49
21116	62	848
21117	62	509
21118	62	539
