rowcode	selection	commodity
32968	86	19
32969	86	10
32970	86	186
32971	86	817
32972	86	695
32973	86	140
32974	86	360
32975	86	111
32976	86	381
32977	86	20
32978	86	43
32979	86	182
32980	86	1063
32981	86	810
32982	86	83
32983	86	286
32984	86	1326
32985	86	17
32986	86	1008
32987	86	174
32988	86	1289
32989	86	996
32990	86	898
32991	86	240
32992	86	156
32993	86	66
32994	86	446
32995	86	87
32996	86	203
32997	86	39
32998	86	294
32999	86	717
33000	86	552
33001	86	159
33002	86	432
33003	86	768
33004	86	41
33005	86	568
33006	86	352
33007	86	775
33008	86	516
33009	86	1214
33010	86	1
33011	86	341
33012	86	1212
33013	86	70
33014	86	1026
33015	86	283
33016	86	474
33017	86	370
33018	86	884
33019	86	471
33020	86	682
33021	86	1081
33022	86	293
33023	86	345
33024	86	735
33025	86	466
33026	86	642
33027	86	1102
33028	86	753
33029	86	171
33030	86	122
33031	86	809
33032	86	18
33033	86	146
33034	86	467
33035	86	3
33036	86	150
33037	86	984
33038	86	135
33039	86	238
33040	86	144
33041	86	650
33042	86	795
33043	86	766
33044	86	206
33045	86	627
33046	86	50
33047	86	372
33048	86	1250
33049	86	515
33050	86	980
33051	86	509
33052	86	320
33053	86	38
33054	86	265
33055	86	129
33056	86	956
33057	86	1459
33058	86	55
33059	86	414
33060	86	916
33061	86	741
33062	86	937
33063	86	679
33064	86	379
33065	86	228
33066	86	1639
33067	86	248
33068	86	404
33069	86	154
33070	86	65
33071	86	234
33072	86	120
33073	86	418
33074	86	105
33075	86	688
33076	86	698
33077	86	1132
33078	86	841
33079	86	863
33080	86	173
33081	86	770
33082	86	69
33083	86	398
33084	86	107
33085	86	261
33086	86	835
33087	86	1004
33088	86	77
33089	86	901
33090	86	805
33091	86	544
33092	86	117
33093	86	476
33094	86	36
33095	86	556
33096	86	204
33097	86	641
33098	86	896
33099	86	1146
33100	86	525
33101	86	422
33102	86	917
33103	86	155
33104	86	11
33105	86	977
33106	86	53
33107	86	181
33108	86	769
33109	86	32
33110	86	2
33111	86	1219
33112	86	91
33113	86	251
33114	86	110
33115	86	1370
33116	86	894
33117	86	1276
33118	86	196
33119	86	923
33120	86	348
33121	86	97
33122	86	382
33123	86	449
33124	86	279
33125	86	49
33126	86	1060
33127	86	1252
33128	86	148
33129	86	656
33130	86	22
33131	86	211
33132	86	57
33133	86	116
33134	86	1222
33135	86	1068
33136	86	492
33137	86	890
33138	86	1041
33139	86	86
33140	86	308
33141	86	175
33142	86	508
33143	86	269
33144	86	231
33145	86	808
33146	86	219
33147	86	609
33148	86	447
33149	86	113
33150	86	268
33151	86	1184
33152	86	1253
33153	86	121
33154	86	139
33155	86	161
33156	86	168
33157	86	469
33158	86	567
33159	86	664
33160	86	13
33161	86	31
33162	86	126
33163	86	654
33164	86	434
33165	86	954
33166	86	696
33167	86	684
33168	86	296
33169	86	856
33170	86	528
33171	86	748
33172	86	909
33173	86	5
33174	86	25
33175	86	463
33176	86	824
33177	86	812
33178	86	450
33179	86	487
33180	86	389
33181	86	328
33182	86	438
33183	86	850
33184	86	597
33185	86	790
33186	86	988
33187	86	1173
33188	86	987
33189	86	1108
33190	86	247
33191	86	978
33192	86	1248
33193	86	71
33194	86	143
33195	86	346
33196	86	975
33197	86	6
33198	86	652
33199	86	971
33200	86	687
33201	86	270
33202	86	1227
33203	86	1005
33204	86	192
33205	86	1016
33206	86	336
33207	86	844
33208	86	134
33209	86	1241
33210	86	666
33211	86	16
33212	86	1220
33213	86	673
33214	86	554
33215	86	1218
33216	86	1498
33217	86	1462
33218	86	541
33219	86	1084
33220	86	981
33221	86	993
33222	86	676
33223	86	375
33224	86	1166
33225	86	489
33226	86	1105
33227	86	945
33228	86	1715
33229	86	310
33230	86	832
33231	86	953
33232	86	611
33233	86	132
33234	86	1717
33235	86	237
33236	86	969
33237	86	306
33238	86	711
33239	86	935
33240	86	327
33241	86	262
33242	86	853
33243	86	102
33244	86	413
33245	86	227
33246	86	44
33247	86	772
33248	86	410
33249	86	52
33250	86	34
33251	86	218
33252	86	4
33253	86	1076
33254	86	628
33255	86	409
33256	86	1121
33257	86	864
33258	86	131
33259	86	220
33260	86	376
33261	86	222
33262	86	72
33263	86	940
33264	86	302
33265	86	677
33266	86	366
33267	86	1243
33268	86	94
33269	86	256
33270	86	708
33271	86	114
33272	86	1135
33273	86	1334
33274	86	1000
33275	86	1144
33276	86	731
33277	86	289
33278	86	303
33279	86	358
33280	86	29
33281	86	686
33282	86	782
33283	86	195
33284	86	189
33285	86	520
33286	86	221
33287	86	28
33288	86	78
33289	86	631
33290	86	298
33291	86	197
33292	86	475
33293	86	406
33294	86	26
33295	86	284
33296	86	88
33297	86	1544
33298	86	545
33299	86	655
33300	86	257
33301	86	842
33302	86	1226
33303	86	115
33304	86	89
33305	86	137
33306	86	15
33307	86	455
33308	86	952
33309	86	33
33310	86	913
33311	86	1042
33312	86	1022
33313	86	620
33314	86	212
33315	86	587
33316	86	1089
33317	86	1348
33318	86	187
33319	86	318
33320	86	470
33321	86	179
33322	86	99
33323	86	45
33324	86	323
33325	86	539
33326	86	789
33327	86	751
33328	86	60
33329	86	309
33330	86	1366
33331	86	547
33332	86	253
33333	86	870
33334	86	241
33335	86	243
33336	86	180
33337	87	175
33338	87	319
33339	87	879
33340	87	898
33341	87	996
33342	87	945
33343	87	75
33344	87	842
33345	87	221
33346	87	436
33347	87	112
33348	87	954
33349	87	72
33350	87	70
33351	87	186
33352	87	17
33353	87	22
33354	87	265
33355	87	106
33356	87	618
33357	87	146
33358	87	247
33359	87	138
33360	87	1039
33361	87	331
33362	87	345
33363	87	36
33364	87	8
33365	87	1303
33366	87	379
33367	87	682
33368	87	179
33369	87	111
33370	87	34
33371	87	41
33372	87	4
33373	87	836
33374	87	208
33375	87	544
33376	87	283
33377	87	556
33378	87	98
33379	87	181
33380	87	21
33381	87	1120
33382	87	262
33383	87	466
33384	87	58
33385	87	1403
33386	87	338
33387	87	228
33388	87	310
33389	87	393
33390	87	696
33391	87	735
33392	87	85
33393	87	1165
33394	87	76
33395	87	246
33396	87	1086
33397	87	301
33398	87	789
33399	87	90
33400	87	820
33401	87	607
33402	87	1311
33403	87	71
33404	87	143
33405	87	635
33406	87	18
33407	87	91
33408	87	253
33409	87	117
33410	87	378
33411	87	3
33412	87	467
33413	87	1364
33414	87	270
33415	87	35
33416	87	1217
33417	87	360
33418	87	156
33419	87	364
33420	87	428
33421	87	419
33422	87	432
33423	87	972
33424	87	251
33425	87	586
33426	87	177
33427	87	190
33428	87	1458
33429	87	105
33430	87	1055
33431	87	375
33432	87	426
33433	87	295
33434	87	180
33435	87	19
33436	87	1
33437	87	10
33438	87	129
33439	87	39
33440	87	960
33441	87	170
33442	87	531
33443	87	14
33444	87	878
33445	87	515
33446	87	506
33447	87	252
33448	87	391
33449	87	1057
33450	87	302
33451	87	154
33452	87	347
33453	87	94
33454	87	140
33455	87	351
33456	87	966
33457	87	505
33458	87	1017
33459	87	110
33460	87	909
33461	87	713
33462	87	825
33463	87	830
33464	87	314
33465	87	534
33466	87	145
33467	87	171
33468	87	902
33469	87	55
33470	87	856
33471	87	463
33472	87	46
33473	87	561
33474	87	615
33475	87	1142
33476	87	231
33477	87	204
33478	87	286
33479	87	1073
33480	87	7
33481	87	69
33482	87	410
33483	87	158
33484	87	540
33485	87	174
33486	87	434
33487	87	336
33488	87	487
33489	87	734
33490	87	1143
33491	87	381
33492	87	652
33493	87	648
33494	87	699
33495	87	298
33496	87	206
33497	87	522
33498	87	894
33499	87	234
33500	87	120
33501	87	711
33502	87	342
33503	87	539
33504	87	750
33505	87	142
33506	87	60
33507	87	896
33508	87	1004
33509	87	442
33510	87	446
33511	87	923
33512	87	237
33513	87	512
33514	87	163
33515	87	464
33516	87	801
33517	87	1320
33518	87	448
33519	87	861
33520	87	971
33521	87	240
33522	87	559
33523	87	552
33524	87	449
33525	87	178
33526	87	1393
33527	87	771
33528	87	31
33529	87	227
33530	87	433
33531	87	866
33532	87	243
33533	87	1526
33534	87	538
33535	87	92
33536	87	528
33537	87	778
33538	87	984
33539	87	238
33540	87	461
33541	87	40
33542	87	1094
33543	87	1149
33544	87	717
33545	87	306
33546	87	422
33547	87	325
33548	87	1118
33549	87	850
33550	87	211
33551	87	166
33552	87	300
33553	87	280
33554	87	495
33555	87	483
33556	87	32
33557	87	1063
33558	87	271
33559	87	660
33560	87	88
33561	87	56
33562	87	1156
33563	87	695
33564	87	665
33565	87	719
33566	87	980
33567	87	219
33568	87	1412
33569	87	150
33570	87	647
33571	87	275
33572	87	99
33573	87	1236
33574	87	218
33575	87	430
33576	87	61
33577	87	127
33578	87	765
33579	87	616
33580	87	1294
33581	87	424
33582	87	568
33583	87	322
33584	87	1274
33585	87	589
33586	87	256
33587	87	597
33588	87	1166
33589	87	1250
33590	87	102
33591	87	1218
33592	87	684
33593	87	917
33594	87	1664
33595	87	770
33596	87	760
33597	87	384
33598	87	1038
33599	87	664
33600	87	157
33601	87	255
33602	87	513
33603	87	1148
33604	87	957
33605	87	783
33606	87	769
33607	87	57
33608	87	1382
33609	87	121
33610	87	744
33611	87	87
33612	87	414
33613	87	122
33614	87	1435
33615	87	229
33616	87	258
33617	87	827
33618	87	826
33619	87	382
33620	87	53
33621	87	1175
33622	87	1346
33623	87	168
33624	87	135
33625	87	451
33626	87	846
33627	87	1433
33628	87	212
33629	87	128
33630	87	6
33631	87	588
33632	87	370
33633	87	721
33634	87	1089
33635	87	666
33636	87	54
33637	87	656
33638	87	775
33639	87	796
33640	87	444
33641	87	191
33642	87	1273
33643	87	884
33644	87	468
33645	87	365
33646	87	346
33647	87	817
33648	87	356
33649	87	173
33650	87	679
33651	87	133
33652	87	1029
33653	87	294
33654	87	147
33655	87	242
33656	87	97
33657	87	49
33658	87	404
33659	87	236
33660	87	1239
33661	87	239
33662	87	868
33663	87	611
33664	87	548
33665	87	1328
33666	87	296
33667	87	816
33668	87	1241
33669	87	43
33670	87	876
33671	87	235
33672	87	553
33673	87	38
33674	87	1102
33675	87	768
33676	87	702
33677	87	372
33678	87	440
33679	87	563
33680	87	195
33681	87	66
33682	87	78
33683	87	562
33684	87	220
33685	87	48
33686	87	670
33687	87	2
33688	87	1257
33689	87	1363
33690	87	45
33691	87	50
33692	87	5
33693	87	431
33694	87	223
33695	87	398
33696	87	613
33697	87	167
33698	87	116
33699	87	471
33700	87	149
33701	87	274
33702	87	1644
33703	87	324
33704	87	103
33705	87	369
33706	87	333
33707	87	627
33708	87	571
33709	87	399
33710	87	477
33711	87	1339
33712	87	756
33713	87	956
33714	87	1384
33715	87	595
33716	87	100
33717	87	521
33718	87	352
33719	87	408
33720	87	405
33721	87	1215
33722	87	303
33723	87	776
33724	87	1248
33725	87	637
33726	87	1472
33727	87	64
33728	87	757
33729	87	914
33730	87	803
33731	87	779
33732	87	316
33733	87	1066
33734	87	472
33735	87	1296
33736	87	320
33737	87	1493
33738	87	547
33739	87	132
33740	87	344
33741	87	465
33742	87	429
33743	87	1356
33744	87	134
33745	87	685
33746	87	864
33747	87	1290
33748	87	663
33749	87	83
33750	87	1718
33751	87	895
33752	87	257
33753	87	993
33754	87	811
33755	87	201
33756	87	1031
33757	87	385
33758	87	1719
33759	87	456
33760	87	279
33761	87	1222
33762	87	1359
33763	87	267
33764	87	975
33765	87	1564
33766	87	182
33767	87	1569
33768	87	863
33769	87	159
33770	87	1272
33771	87	526
33772	87	738
33773	87	1590
33774	87	321
33775	87	1030
33776	87	124
33777	87	284
33778	87	293
33779	87	683
33780	87	1137
33781	87	1646
33782	87	1442
33783	87	1059
33784	87	1214
33785	87	1367
33786	87	335
33787	87	311
33788	87	1240
33789	87	1544
33790	87	25
33791	87	1058
33792	87	357
33793	87	949
33794	87	388
33795	87	1243
33796	87	841
33797	87	835
33798	87	1454
33799	87	276
33800	87	686
33801	87	1491
33802	87	16
33803	87	11
33804	87	489
33805	87	144
33806	87	1631
33807	87	790
33808	87	550
33809	87	593
33810	87	502
33811	87	937
33812	87	893
33813	87	883
33814	87	1026
33815	87	962
33816	87	520
33817	87	421
33818	87	278
33819	87	469
33820	87	332
33821	87	1022
33822	87	1326
33823	87	254
33824	87	1244
33825	87	587
33826	87	1037
33827	87	176
33828	87	1406
33829	87	877
33830	87	843
33831	87	806
33832	87	387
33833	87	802
33834	87	624
33835	87	569
33836	87	409
33837	87	1159
33838	87	880
33839	87	897
33840	87	196
33841	87	726
33842	87	809
33843	87	1551
33844	87	1009
33845	87	642
33846	87	859
33847	87	1054
33848	87	203
33849	87	1219
33850	87	109
33851	87	977
33852	87	688
33853	87	654
33854	87	1100
33855	87	1068
33856	87	1203
33857	87	193
33858	87	315
33859	87	698
33860	87	161
33861	87	867
33862	87	185
33863	88	695
33864	88	36
33865	88	751
33866	88	1323
33867	88	72
33868	88	98
33869	88	1491
33870	88	247
33871	88	342
33872	88	642
33873	88	544
33874	88	401
33875	88	975
33876	88	94
33877	88	19
33878	88	106
33879	88	187
33880	88	8
33881	88	34
33882	88	1086
33883	88	936
33884	88	190
33885	88	1250
33886	88	410
33887	88	1370
33888	88	444
33889	88	91
33890	88	22
33891	88	495
33892	88	1289
33893	88	146
33894	88	770
33895	88	13
33896	88	658
33897	88	175
33898	88	105
33899	88	937
33900	88	1214
33901	88	883
33902	88	221
33903	88	1100
33904	88	1379
33905	88	323
33906	88	5
33907	88	1006
33908	88	149
33909	88	616
33910	88	996
33911	88	6
33912	88	195
33913	88	41
33914	88	18
33915	88	378
33916	88	321
33917	88	369
33918	88	789
33919	88	1134
33920	88	1156
33921	88	375
33922	88	241
33923	88	180
33924	88	452
33925	88	835
33926	88	361
33927	88	55
33928	88	295
33929	88	1163
33930	88	392
33931	88	49
33932	88	66
33933	88	701
33934	88	54
33935	88	327
33936	88	53
33937	88	817
33938	88	607
33939	88	320
33940	88	271
33941	88	1121
33942	88	39
33943	88	173
33944	88	360
33945	88	1
33946	88	406
33947	88	461
33948	88	270
33949	88	3
33950	88	258
33951	88	619
33952	88	1192
33953	88	71
33954	88	238
33955	88	135
33956	88	828
33957	88	711
33958	88	867
33959	88	324
33960	88	12
33961	88	613
33962	88	1296
33963	88	372
33964	88	122
33965	88	265
33966	88	4
33967	88	243
33968	88	174
33969	88	568
33970	88	179
33971	88	1176
33972	88	1458
33973	88	250
33974	88	388
33975	88	657
33976	88	331
33977	88	1039
33978	88	228
33979	88	588
33980	88	277
33981	88	214
33982	88	870
33983	88	48
33984	88	377
33985	88	469
33986	88	75
33987	88	1366
33988	88	801
33989	88	348
33990	88	790
33991	88	1081
33992	88	1054
33993	88	177
33994	88	115
33995	88	565
33996	88	649
33997	88	242
33998	88	808
33999	88	466
34000	88	717
34001	88	344
34002	88	742
34003	88	879
34004	88	876
34005	88	1639
34006	88	116
34007	88	244
34008	88	359
34009	88	246
34010	88	877
34011	88	1042
34012	88	559
34013	88	194
34014	88	923
34015	88	1265
34016	88	399
34017	88	688
34018	88	878
34019	88	256
34020	88	286
34021	88	809
34022	88	698
34023	88	218
34024	88	204
34025	88	117
34026	88	15
34027	88	1067
34028	88	470
34029	88	880
34030	88	474
34031	88	97
34032	88	312
34033	88	306
34034	88	255
34035	88	266
34036	88	546
34037	88	293
34038	88	1406
34039	88	186
34040	88	795
34041	88	143
34042	88	732
34043	88	600
34044	88	1514
34045	88	1014
34046	88	239
34047	88	7
34048	88	1020
34049	88	956
34050	88	302
34051	88	189
34052	88	832
34053	88	436
34054	88	654
34055	88	903
34056	88	515
34057	88	811
34058	88	1113
34059	88	365
34060	88	782
34061	88	407
34062	88	1263
34063	88	1242
34064	88	178
34065	88	283
34066	88	70
34067	88	298
34068	88	289
34069	88	231
34070	88	446
34071	88	170
34072	88	184
34073	88	261
34074	88	1165
34075	88	315
34076	88	280
34077	88	1226
34078	88	838
34079	88	25
34080	88	768
34081	88	547
34082	88	1045
34083	88	597
34084	88	564
34085	88	345
34086	88	541
34087	88	395
34088	88	339
34089	88	251
34090	88	549
34091	88	539
34092	88	85
34093	88	1555
34094	88	794
34095	88	358
34096	88	556
34097	88	881
34098	88	525
34099	88	744
34100	88	722
34101	88	864
34102	88	1355
34103	88	1294
34104	88	158
34105	88	235
34106	88	313
34107	88	234
34108	88	216
34109	88	627
34110	88	1389
34111	88	618
34112	88	10
34113	88	1308
34114	88	140
34115	88	279
34116	88	1222
34117	88	161
34118	88	51
34119	88	357
34120	88	301
34121	88	774
34122	88	144
34123	88	318
34124	88	21
34125	88	424
34126	88	379
34127	88	924
34128	88	87
34129	88	150
34130	88	28
34131	88	233
34132	88	966
34133	88	1304
34134	88	326
34135	88	987
34136	88	60
34137	88	92
34138	88	960
34139	88	1326
34140	88	668
34141	88	1105
34142	88	467
34143	88	816
34144	88	20
34145	88	971
34146	88	571
34147	88	129
34148	88	1048
34149	88	721
34150	88	628
34151	88	806
34152	88	310
34153	88	44
34154	88	32
34155	88	818
34156	88	2
34157	88	1036
34158	88	712
34159	88	509
34160	88	83
34161	88	1408
34162	88	182
34163	88	285
34164	88	719
34165	88	393
34166	88	17
34167	88	121
34168	88	376
34169	88	50
34170	88	941
34171	88	846
34172	88	130
34173	88	1148
34174	88	648
34175	88	319
34176	88	913
34177	88	103
34178	88	1145
34179	88	1009
34180	88	486
34181	88	473
34182	88	574
34183	88	1235
34184	88	441
34185	88	1166
34186	88	120
34187	88	679
34188	88	834
34189	88	268
34190	88	267
34191	88	1057
34192	88	1219
34193	88	810
34194	88	943
34195	88	432
34196	88	111
34197	88	197
34198	88	737
34199	88	451
34200	88	1143
34201	88	1022
34202	88	802
34203	88	561
34204	88	483
34205	88	207
34206	88	560
34207	88	569
