rowcode	selection	commodity
38917	105	56
38918	105	231
38919	105	70
38920	105	22
38921	105	208
38922	105	492
38923	105	782
38924	105	180
38925	105	41
38926	105	246
38927	105	328
38928	105	695
38929	105	72
38930	105	996
38931	105	173
38932	105	186
38933	105	374
38934	105	6
38935	105	37
38936	105	144
38937	105	241
38938	105	34
38939	105	922
38940	105	727
38941	105	64
38942	105	200
38943	105	15
38944	105	3
38945	105	347
38946	105	658
38947	105	320
38948	105	5
38949	105	467
38950	105	495
38951	105	91
38952	105	438
38953	105	797
38954	105	306
38955	105	384
38956	105	18
38957	105	36
38958	105	111
38959	105	50
38960	105	135
38961	105	642
38962	105	247
38963	105	441
38964	105	448
38965	105	809
38966	105	53
38967	105	768
38968	105	766
38969	105	544
38970	105	326
38971	105	880
38972	105	228
38973	105	331
38974	105	699
38975	105	280
38976	105	650
38977	105	189
38978	105	191
38979	105	269
38980	105	915
38981	105	114
38982	105	1068
38983	105	234
38984	105	646
38985	105	23
38986	105	106
38987	105	324
38988	105	258
38989	105	968
38990	105	978
38991	105	54
38992	105	748
38993	105	610
38994	105	615
38995	105	540
38996	105	660
38997	105	876
38998	105	537
38999	105	344
39000	105	11
39001	105	452
39002	105	635
39003	105	261
39004	105	105
39005	105	17
39006	105	175
39007	105	531
39008	105	221
39009	105	2
39010	105	906
39011	105	744
39012	105	401
39013	105	27
39014	105	92
39015	105	143
39016	105	954
39017	105	1525
39018	105	464
39019	105	26
39020	105	227
39021	105	1002
39022	105	55
39023	105	284
39024	105	202
39025	105	219
39026	105	1201
39027	105	897
39028	105	462
39029	105	626
39030	106	41
39031	106	143
39032	106	18
39033	106	786
39034	106	854
39035	106	144
39036	106	26
39037	106	70
39038	106	327
39039	106	401
39040	106	1297
39041	106	906
39042	106	5
39043	106	326
39044	106	247
39045	106	695
39046	106	129
39047	106	17
39048	106	263
39049	106	565
39050	106	147
39051	106	86
39052	106	174
39053	106	50
39054	106	56
39055	106	231
39056	106	22
39057	106	674
39058	106	385
39059	106	570
39060	106	149
39061	106	65
39062	106	333
39063	106	1454
39064	106	412
39065	106	476
39066	106	216
39067	106	1024
39068	106	668
39069	106	1491
39070	106	288
39071	106	642
39072	106	1587
39073	106	941
39074	106	478
39075	106	615
39076	106	317
39077	106	219
39078	106	4
39079	106	1412
39080	106	135
39081	106	3
39082	106	776
39083	106	661
39084	106	1162
39085	106	809
39086	106	55
39087	106	404
39088	106	1726
39089	106	698
39090	106	71
39091	106	1235
39092	106	1
39093	106	19
39094	106	117
39095	106	1727
39096	106	925
39097	106	99
39098	106	1034
39099	106	175
39100	106	221
39101	106	996
39102	106	430
39103	106	680
39104	106	806
39105	106	937
39106	106	1025
39107	106	469
39108	106	186
39109	106	1254
39110	106	1189
39111	106	1140
39112	106	427
39113	106	1080
39114	106	1701
39115	106	800
39116	106	138
39117	106	628
39118	106	229
39119	106	160
39120	106	1156
39121	106	670
39122	106	228
39123	106	662
39124	106	673
39125	106	272
39126	106	63
39127	106	246
39128	106	968
39129	106	1519
39130	106	280
39131	106	1009
39132	106	361
39133	106	1283
39134	106	932
39135	106	189
39136	106	1456
39137	106	738
39138	106	972
39139	106	814
39140	106	460
39141	106	1142
39142	106	1308
39143	106	140
39144	106	68
39145	106	279
39146	106	111
39147	106	1483
39148	106	751
39149	106	261
39150	106	121
39151	106	245
39152	106	250
39153	106	456
39154	106	833
39155	106	51
39156	106	946
39157	106	1586
39158	106	1190
39159	106	190
39160	106	36
39161	106	97
39162	106	164
39163	106	479
39164	106	585
39165	106	59
39166	106	72
39167	106	1459
39168	106	11
39169	106	467
39170	106	492
39171	106	1722
39172	106	123
39173	106	1650
39174	106	114
39175	106	324
39176	106	106
39177	106	252
39178	106	102
39179	106	1132
39180	106	687
39181	106	257
39182	106	6
39183	106	43
39184	106	2
39185	106	32
39186	106	180
39187	106	83
39188	106	1548
39189	106	359
39190	106	771
39191	106	283
39192	106	1253
39193	106	212
39194	106	828
39195	106	8
39196	106	426
39197	106	105
39198	106	196
39199	106	146
39200	106	328
39201	106	38
39202	106	173
39203	106	319
39204	106	1588
39205	106	206
39206	106	192
39207	106	181
39208	106	1218
39209	106	748
39210	106	1544
39211	106	692
39212	106	269
39213	106	434
39214	106	618
39215	106	753
39216	106	540
39217	106	44
39218	106	137
39219	106	10
39220	106	501
39221	106	134
39222	106	1102
39223	106	1074
39224	106	265
39225	106	345
39226	106	264
39227	106	601
39228	106	991
39229	106	214
39230	106	357
39231	106	953
39232	106	561
39233	106	191
39234	106	611
39235	106	701
39236	106	443
39237	106	544
39238	106	34
39239	106	595
39240	106	975
39241	106	491
39242	106	116
39243	106	367
39244	106	1453
39245	106	922
39246	106	515
39247	106	346
39248	106	96
39249	106	827
39250	106	320
39251	106	91
39252	106	296
39253	106	1004
39254	106	455
39255	106	1259
39256	106	465
39257	106	656
39258	106	234
39259	106	1294
