rowcode	selection	commodity
63604	186	1002
63605	186	438
63606	186	1
63607	186	54
63608	186	175
63609	186	2
63610	186	247
63611	186	1637
63612	186	97
63613	186	857
63614	186	701
63615	186	70
63616	186	111
63617	186	269
63618	186	257
63619	186	191
63620	186	231
63621	186	361
63622	186	18
63623	186	72
63624	186	19
63625	186	471
63626	186	538
63627	186	324
63628	186	270
63629	186	906
63630	186	76
63631	186	120
63632	186	174
63633	186	1351
63634	186	219
63635	186	451
63636	186	714
63637	186	344
63638	186	138
63639	186	331
63640	186	327
63641	186	748
63642	186	26
63643	186	594
63644	186	477
63645	186	848
63646	186	642
63647	186	55
63648	186	821
63649	186	639
63650	186	962
63651	186	42
63652	186	1021
63653	186	516
63654	186	36
63655	186	51
63656	186	91
63657	186	214
63658	186	395
63659	186	984
63660	186	436
63661	186	124
63662	186	1060
63663	186	164
63664	186	56
63665	186	59
63666	186	218
63667	186	357
63668	186	744
63669	186	25
63670	186	1539
63671	186	250
63672	186	189
63673	186	32
63674	186	63
63675	186	585
63676	186	79
63677	186	783
63678	186	505
63679	186	352
63680	186	508
63681	186	353
63682	186	22
63683	186	46
63684	186	381
63685	186	50
63686	186	1201
63687	186	547
63688	186	953
63689	186	1190
63690	186	200
63691	186	463
63692	186	363
63693	186	326
63694	186	129
63695	186	1348
63696	186	155
63697	186	69
63698	186	388
63699	186	274
63700	186	104
63701	186	486
63702	186	143
63703	186	186
63704	186	82
63705	186	908
63706	186	797
63707	186	16
63708	186	945
63709	186	452
63710	186	668
63711	186	1586
63712	186	719
63713	186	137
63714	186	980
63715	186	38
63716	186	790
63717	186	121
63718	186	57
63719	186	722
63720	186	842
63721	186	687
63722	186	1126
63723	186	497
63724	186	53
63725	186	817
63726	186	166
63727	186	235
63728	186	7
63729	186	333
63730	186	467
63731	186	811
63732	186	801
63733	186	241
63734	186	401
63735	186	135
63736	186	913
63737	186	450
63738	186	88
63739	186	243
63740	186	262
63741	186	94
63742	186	140
63743	186	724
63744	186	78
63745	186	65
63746	186	279
63747	186	349
63748	186	466
63749	186	1102
63750	186	271
63751	186	311
63752	186	236
63753	186	461
63754	186	182
63755	186	298
63756	186	474
63757	186	949
63758	186	480
63759	186	705
63760	186	1680
63761	186	1081
63762	186	102
63763	186	28
63764	186	147
63765	186	870
63766	186	1289
63767	186	347
63768	186	1683
63769	186	1367
63770	186	539
63771	186	1383
63772	186	385
63773	186	1674
63774	186	9
63775	186	465
63776	186	204
63777	186	173
63778	186	558
63779	186	1672
63780	186	482
63781	186	1003
63782	186	71
63783	186	1493
63784	186	813
63785	186	576
63786	186	98
63787	186	40
63788	186	146
63789	186	664
63790	186	341
63791	186	509
63792	186	445
63793	186	1052
63794	186	229
63795	186	212
63796	186	114
63797	186	320
63798	186	652
63799	186	803
63800	186	35
63801	186	239
63802	186	11
63803	186	67
63804	186	144
63805	186	426
63806	186	546
63807	186	260
63808	186	115
63809	186	112
63810	186	814
63811	186	693
63812	186	17
63813	186	83
63814	186	1363
63815	186	528
63816	186	956
63817	186	103
63818	186	1565
63819	186	425
63820	186	832
63821	186	800
63822	186	30
63823	186	415
63824	186	838
63825	186	203
63826	186	573
63827	186	410
63828	186	771
63829	186	434
63830	186	252
63831	186	123
63832	186	325
63833	186	248
63834	186	280
63835	186	1096
63836	186	1020
63837	186	33
63838	186	3
63839	186	156
63840	186	1036
63841	186	253
63842	186	199
63843	186	478
63844	186	61
63845	186	552
63846	186	568
63847	186	37
63848	186	160
63849	186	379
63850	186	646
63851	186	330
63852	186	806
63853	186	889
63854	186	15
63855	186	180
63856	186	519
63857	186	610
63858	186	1329
63859	186	314
63860	186	1377
