rowcode	selection	commodity
74403	180	701
74404	180	36
74405	180	881
74406	180	576
74407	180	72
74408	180	361
74409	180	50
74410	180	146
74411	180	1126
74412	180	174
74413	180	171
74414	180	236
74415	180	447
74416	180	341
74417	180	710
74418	180	22
74419	180	179
74420	180	56
74421	180	189
74422	180	7
74423	180	389
74424	180	954
74425	180	695
74426	180	945
74427	180	1529
74428	180	318
74429	180	270
74430	180	150
74431	180	19
74432	180	1235
74433	180	252
74434	180	218
74435	180	682
74436	180	262
74437	180	2
74438	180	39
74439	180	731
74440	180	12
74441	180	1524
74442	180	1557
74443	180	653
74444	180	395
74445	180	677
74446	180	860
74447	180	888
74448	180	1013
74449	180	219
74450	180	482
74451	180	106
74452	180	42
74453	180	320
74454	180	175
74455	180	208
74456	180	308
74457	180	531
74458	180	484
74459	180	151
74460	180	105
74461	180	1810
74462	180	984
74463	180	117
74464	180	995
74465	180	388
74466	180	302
74467	180	472
74468	180	191
74469	180	797
74470	180	34
74471	180	497
74472	180	8
74473	180	744
74474	180	70
74475	180	674
74476	180	97
74477	180	32
74478	180	255
74479	180	3
74480	180	324
74481	180	6
74482	180	490
74483	180	438
74484	180	709
74485	180	637
74486	180	130
74487	180	114
74488	180	309
74489	180	445
74490	180	446
74491	180	809
74492	180	610
74493	180	1
74494	180	748
74495	180	26
74496	180	295
74497	180	570
74498	180	473
74499	180	269
74500	180	1543
74501	180	467
74502	180	404
74503	180	176
74504	180	901
74505	180	99
74506	180	611
74507	180	228
74508	180	238
74509	180	832
74510	180	1277
74511	180	342
74512	180	993
74513	180	57
74514	180	1020
74515	180	115
74516	180	938
74517	180	845
74518	180	1657
74519	180	493
74520	180	1750
74521	180	149
74522	180	905
74523	180	1035
74524	180	1026
74525	180	173
74526	180	116
74527	180	480
74528	180	317
74529	180	500
74530	180	865
74531	180	206
74532	180	912
74533	180	1027
74534	180	964
74535	180	463
74536	180	894
74537	180	9
74538	180	926
74539	180	91
74540	180	952
74541	180	987
74542	180	573
74543	180	639
74544	180	990
74545	180	193
74546	180	391
74547	180	1197
74548	180	898
74549	180	727
74550	180	805
74551	180	33
74552	180	1139
74553	180	720
74554	180	17
74555	180	1699
74556	180	931
74557	180	96
74558	180	246
74559	180	94
74560	180	140
74561	180	103
74562	180	403
74563	180	1009
74564	180	59
74565	180	507
74566	180	1217
74567	180	249
74568	180	1357
74569	180	31
74570	180	869
74571	180	495
74572	180	138
74573	180	200
74574	180	774
74575	180	336
74576	180	280
74577	180	172
74578	180	668
74579	180	360
74580	180	66
74581	180	102
74582	180	436
74583	180	452
74584	180	328
74585	180	501
74586	180	78
74587	180	348
74588	180	247
74589	180	292
74590	180	21
74591	180	92
74592	180	670
74593	180	44
74594	180	806
74595	180	291
74596	180	816
74597	180	698
74598	180	287
74599	180	861
74600	180	281
74601	180	372
74602	180	229
74603	180	266
74604	180	54
74605	180	654
74606	180	1122
74607	180	510
74608	180	818
74609	180	469
74610	180	301
74611	180	559
74612	180	338
74613	180	333
74614	180	385
74615	180	461
74616	180	560
74617	180	549
74618	180	429
74619	180	284
74620	180	451
74621	180	722
74622	180	508
74623	180	379
74624	180	665
74625	180	180
74626	180	243
74627	180	352
74628	180	486
74629	180	319
74630	180	235
74631	180	104
74632	180	286
74633	180	1002
74634	180	468
74635	180	608
74636	180	471
74637	180	358
74638	180	398
74639	180	327
74640	180	197
74641	180	378
74642	180	294
74643	180	1030
74644	180	558
74645	180	1074
74646	180	717
74647	180	935
74648	180	783
74649	180	288
74650	180	460
74651	180	166
74652	180	588
74653	180	370
74654	180	164
74655	180	856
74656	180	273
74657	180	786
74658	180	679
74659	180	424
74660	180	946
74661	180	53
74662	180	798
74663	180	207
74664	180	1421
74665	180	1329
74666	180	444
74667	180	212
74668	180	1036
74669	180	55
74670	180	1560
74671	180	1048
74672	180	190
74673	180	250
74674	180	996
74675	180	214
74676	180	1068
74677	180	234
74678	180	98
74679	180	1811
74680	180	196
74681	180	893
74682	180	1696
74683	180	712
74684	180	546
74685	180	597
74686	180	1100
74687	180	186
74688	180	678
74689	180	322
74690	180	1476
74691	180	331
74692	180	1435
74693	180	118
74694	180	41
74695	180	1482
74696	180	40
74697	180	321
74698	180	897
74699	180	584
74700	180	18
74701	180	586
74702	180	413
74703	180	866
74704	180	132
74705	180	244
74706	180	1812
74707	180	253
74708	180	251
74709	180	851
74710	180	528
74711	180	326
74712	180	1069
74713	180	232
74714	180	195
74715	180	142
74716	180	181
74717	180	161
74718	180	563
74719	180	1365
74720	180	224
74721	180	124
74722	180	332
74723	180	627
74724	180	133
74725	180	84
74726	180	683
74727	180	751
74728	180	427
74729	180	552
74730	180	593
74731	180	120
74732	180	607
74733	180	822
74734	180	739
74735	180	1646
74736	180	1141
74737	180	441
74738	180	746
74739	180	553
74740	180	112
74741	180	225
74742	180	221
74743	180	87
74744	180	1156
74745	180	300
74746	180	435
74747	180	965
74748	180	433
74749	180	45
74750	180	376
74751	180	756
74752	180	812
74753	180	182
74754	180	344
74755	180	1108
74756	180	48
74757	180	396
74758	180	784
74759	180	258
74760	180	267
74761	180	203
74762	180	1610
74763	180	737
74764	180	509
74765	180	1101
74766	180	924
74767	180	1805
74768	180	1481
74769	180	1315
74770	180	1239
74771	180	1121
74772	180	691
74773	180	111
74774	180	1589
74775	180	314
74776	180	920
74777	180	673
74778	180	35
74779	180	416
74780	180	643
74781	180	1179
74782	180	647
74783	180	1262
74784	180	999
74785	180	1334
74786	180	121
74787	180	530
74788	180	5
74789	180	268
74790	180	595
74791	180	771
74792	180	213
74793	180	1010
74794	180	1062
74795	180	113
74796	180	687
74797	180	863
74798	180	1111
74799	180	464
74800	180	1064
74801	180	1733
74802	180	680
74803	180	705
74804	180	787
74805	180	1065
74806	180	158
74807	180	1436
74808	180	399
74809	180	602
74810	180	540
74811	180	652
74812	180	369
74813	180	1267
74814	180	782
74815	180	470
74816	180	274
74817	180	437
74818	180	1162
74819	180	1447
74820	180	1104
74821	180	1231
74822	180	299
74823	180	347
74824	180	52
74825	180	305
74826	180	364
74827	180	895
74828	180	453
74829	180	407
74830	180	426
74831	180	638
74832	180	867
74833	180	686
74834	180	145
74835	180	227
74836	180	849
74837	180	418
74838	180	1518
74839	180	10
74840	180	297
74841	180	981
74842	180	279
74843	180	1520
74844	180	316
74845	180	1056
74846	180	1088
74847	180	1046
74848	180	925
74849	180	1351
74850	180	367
74851	180	478
74852	180	183
74853	180	156
74854	180	14
74855	180	340
74856	180	144
74857	180	256
74858	180	632
74859	180	1813
74860	180	375
74861	180	1223
74862	180	1756
74863	180	474
74864	180	492
74865	180	628
74866	180	271
74867	180	568
74868	180	357
74869	180	240
74870	180	1025
74871	180	1782
74872	180	1165
74873	180	1096
74874	180	199
74875	180	526
74876	180	522
74877	180	825
74878	180	345
74879	180	1479
74880	180	1163
74881	180	949
74882	180	15
74883	180	742
74884	180	71
74885	180	77
74886	180	1814
74887	180	275
