team_number	team_id
Bono Team 1	1
Bono Team 3	2
Bono Team 2	3
Bono Team 4	4
Bono Team 6	5
Bono Team 5	6
Bono Team 7	7
Bono Team 8	8
Bono Team 16	9
Bono Team 13	10
Bono Team 15	11
Bono Team 11	12
Bono Team 14	13
Bono Team 12	14
Bono Team 10	15
Bono Team 9	16
Bono Team 17	17
Bono Team 21	18
Bono Team 19	19
Bono Team 18	20
Bono Team 20	21
NER Team 10	22
NER Team 9	23
NER Team 12	24
NER Team 11	25
NER Team 13	26
NER Team 8	27
NER Team 4	28
NER Team 5	29
NER Team 2	30
NER Team 6	31
NER Team 1	32
NER Team 3	33
NER Team 7	34
NR Team 11	35
NR Team 12	36
NR Team 3	37
NR Team 4	38
NR Team 10	39
NR Team 1	40
NR Team 2	41
NR Team 9	42
NR Team 8	43
NR Team 5	44
NR Team 7	45
NR Team 6	46
Oti Team 11	47
Oti Team 12	48
Oti Team 10	49
Oti Team 13	50
Oti Team 8	51
Oti Team 9	52
Oti Team 7	53
Oti Team 3	54
Oti Team 2	55
Oti Team 1	56
Oti Team 6	57
Oti Team 5	58
Oti Team 4	59
Savannah Team 2	60
Savannah Team 3	61
Savannah Team 1	62
UE Team 13	63
UE Team 12	64
UE Team 14	65
UE Team 11	66
UE Team 9	67
UE Team 10	68
UE Team 8	69
UE Team 7	70
UE Team  5	71
UE Team 6	72
UE Team 4	73
UE Team 1	74
UE Team 2	75
UE Team 3	76
UE Team 15	77
UE Team 18	78
UE Team 17	79
UE Team 16	80
UE Team 21	81
UE Team 19	82
UE Team 23	83
UE Team 20	84
UE Team 22	85
UW Team 8	86
UW Team 10	87
UW Team 9	88
UW Team 11	89
UW Team 7	90
UW Team 4	91
UW Team 5	92
UW Team 18	93
UW Team 19	94
UW Team 17	95
UW Team 15	96
UW Team 12	97
UW Team 13	98
UW Team 16	99
UW Team 6	100
UW Team 14	101
UW Team 1	102
UW Team 3	103
UW Team 2	104
Volta Team 2	105
Volta Team 4	106
Volta Team 1	107
Volta Team 3	108
Volta Team 10	109
Volta Team 11	110
Volta Team 9	111
Volta Team 5	112
Volta Team 6	113
Volta Team 8	114
Volta Team 15	115
Volta Team 16	116
Volta Team 17	117
Volta Team 18	118
Volta Team 19	119
Volta Team 20	120
Volta Team 21	121
Volta Team 22	122
Volta Team 14	123
Volta Team 24	124
Volta Team 25	125
Volta Team 26	126
Volta Team 27	127
Volta Team 28	128
Volta Team 29	129
Volta Team 31	130
Volta Team 12	131
Volta Team 13	132
Volta Team 30	133
Volta Team 32	134
Volta Team 33	135
Volta Team 34	136
Volta Team 35	137
Volta Team 36	138
Volta Team 37	139
Volta Team 38	140
Volta Team 39	141
Volta Team 40	142
Volta Team 41	143
Volta Team 65	144
Volta Team 68	145
Volta Team 44	146
Volta Team 45	147
Volta Team 48	148
Volta Team 59	149
Volta Team 61	150
Volta Team 49	151
Volta Team 51	152
Volta Team 56	153
Volta Team 57	154
Volta Team 58	155
Volta Team 63	156
Volta Team 54	157
Volta Team 67	158
Volta Team 70	159
Volta Team 73	160
Volta Team 60	161
Volta Team 62	162
Volta Team 66	163
Volta Team 69	164
Volta Team 42	165
Volta Team 43	166
Volta Team 64	167
Volta Team 50	168
Volta Team 52	169
Volta Team 47	170
Volta Team 72	171
Volta Team 46	172
Volta Team 75	173
Volta Team 55	174
Volta Team 7	175
Volta Team 76	176
Volta Team 74	177
Volta Team 71	178
Volta Team 53	179
WR 4	180
WR 3	181
WR 1	182
WR 6	183
WR 2	184
WR 5	185
WRN Team 3	186
WRN Team 4	187
WRN Team 6	188
WRN Team 2	189
WRN Team 5	190
WRN Team 1	191
WRN Team 19	192
WRN Team 24	193
WRN Team 23	194
WRN Team 22	195
WRN Team 16	196
WRN Team 20	197
WRN Team 18	198
WRN Team 17	199
WRN Team 21	200
WRN Team 25	201
WRN Team 26	202
WRN Team 15	203
WRN Team 12	204
WRN Team 13	205
WRN Team 11	206
WRN Team 9	207
WRN Team 14	208
WRN Team 10	209
WRN Team 7	210
WRN Team 8	211
